"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
NA,10,"existing credits paid back duly till now","car (new)",1418,"100 <= ... <  500 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"real estate",35,"none","rent",1,"unskilled - resident",1,"no","no","yes"
NA,6,"existing credits paid back duly till now","car (new)",3518,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","guarantor",3,"building society savings agreement/life insurance",26,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
NA,12,"critical account","radio/television",1934,"... <  100 DM","... >= 7 years",0.02,"male","single","none",2,NA,26,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",27,"no credits taken","business",8318,"... <  100 DM","... >= 7 years",0.02,"female","divorced/separated/married","none",4,NA,42,"none","for free",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,6,"critical account","radio/television",1237,"100 <= ... <  500 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",368,NA,"... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",38,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",12,"critical account","car (new)",2122,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"real estate",39,"none","rent",2,"unskilled - resident",2,"no","no","yes"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",2996,NA,"1  <= ... < 4 years",0.02,"male","married/widowed","none",4,"car or other",20,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","furniture/equipment",9034,"100 <= ... <  500 DM","... < 1 year",0.04,"male","single","co-applicant",1,NA,29,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,24,"critical account","furniture/equipment",1585,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",3,"building society savings agreement/life insurance",40,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",1301,"... <  100 DM","... >= 7 years",0.04,"male","married/widowed","guarantor",2,"real estate",32,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"... >= 200 DM",6,"critical account","car (new)",1323,"100 <= ... <  500 DM","... >= 7 years",0.02,"male","divorced/separated","none",4,"car or other",28,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","car (new)",3123,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",27,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",36,"existing credits paid back duly till now","car (used)",5493,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,NA,42,"none","for free",1,"skilled employee/official",2,"no","yes","yes"
"... >= 200 DM",9,"existing credits paid back duly till now","radio/television",1126,"100 <= ... <  500 DM","... >= 7 years",0.02,"male","divorced/separated","none",4,"real estate",49,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"critical account","radio/television",1216,"100 <= ... <  500 DM","... < 1 year",0.04,"male","single","none",4,NA,38,"bank","own",2,"skilled employee/official",2,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","car (new)",1207,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",24,"none","rent",1,"skilled employee/official",1,"no","yes","no"
NA,10,"existing credits paid back duly till now","car (new)",1309,NA,"1  <= ... < 4 years",0.04,"male","single","guarantor",4,"building society savings agreement/life insurance",27,"none","own",1,"unskilled - resident",1,"no","yes","no"
"... >= 200 DM",15,"critical account","car (used)",2360,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",36,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",15,"all credits at this bank paid back duly","car (new)",6850,"100 <= ... <  500 DM","unemployed",0.01,"male","single","none",2,"building society savings agreement/life insurance",34,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","no"
NA,24,"existing credits paid back duly till now","radio/television",1413,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",2,"building society savings agreement/life insurance",28,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,39,"existing credits paid back duly till now","car (used)",8588,"100 <= ... <  500 DM","... >= 7 years",0.04,"male","single","none",2,"car or other",45,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","car (new)",759,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",2,"real estate",26,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,36,"existing credits paid back duly till now","car (used)",4686,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,NA,32,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... >= 200 DM",15,"existing credits paid back duly till now","business",2687,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",4,"building society savings agreement/life insurance",26,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"delay in paying off in the past","radio/television",585,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","co-applicant",4,"real estate",20,"none","rent",2,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","car (new)",2255,NA,"... < 1 year",0.04,"male","single","none",1,"building society savings agreement/life insurance",54,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",6,"critical account","car (new)",609,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",3,"building society savings agreement/life insurance",37,"none","own",2,"skilled employee/official",1,"no","no","yes"
"... < 0 DM",6,"critical account","car (new)",1361,"... <  100 DM","... < 1 year",0.02,"male","single","none",4,"real estate",40,"none","own",1,"unskilled - resident",2,"no","no","yes"
NA,36,"critical account","furniture/equipment",7127,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",23,"none","rent",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",6,"existing credits paid back duly till now","car (new)",1203,"100 <= ... <  500 DM","... >= 7 years",0.03,"male","single","none",2,"building society savings agreement/life insurance",43,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,6,"critical account","radio/television",700,NA,"... >= 7 years",0.04,"male","single","none",4,NA,36,"none","for free",2,"skilled employee/official",1,"no","yes","yes"
NA,24,"critical account","repairs",5507,"... <  100 DM","... >= 7 years",0.03,"male","single","none",4,NA,44,"none","for free",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","radio/television",3190,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"real estate",24,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",48,"no credits taken","furniture/equipment",7119,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",4,NA,53,"none","for free",2,"skilled employee/official",2,"no","yes","no"
NA,24,"existing credits paid back duly till now","car (used)",3488,"100 <= ... <  500 DM","4  <= ... < 7 years",0.03,"female","divorced/separated/married","none",4,"car or other",23,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"existing credits paid back duly till now","radio/television",1113,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","guarantor",4,"real estate",26,"none","own",1,"unskilled - resident",2,"no","yes","yes"
"0 <= ... < 200 DM",26,"existing credits paid back duly till now","car (used)",7966,"... <  100 DM","... < 1 year",0.02,"male","single","none",3,"car or other",30,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,15,"critical account","education",1532,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",3,"car or other",31,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,4,"critical account","radio/television",1503,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",1,"real estate",42,"none","own",2,"unskilled - resident",2,"no","yes","yes"
"... < 0 DM",36,"existing credits paid back duly till now","radio/television",2302,"... <  100 DM","1  <= ... < 4 years",0.04,"male","divorced/separated","none",4,"car or other",31,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",6,"existing credits paid back duly till now","car (new)",662,"... <  100 DM","... < 1 year",0.03,"male","single","none",4,"real estate",41,"none","own",1,"unskilled - resident",2,"yes","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","education",2273,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",1,"car or other",32,"none","own",2,"skilled employee/official",2,"no","yes","yes"
"0 <= ... < 200 DM",15,"existing credits paid back duly till now","car (new)",2631,"100 <= ... <  500 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",4,"car or other",28,"none","rent",2,"skilled employee/official",1,"yes","yes","no"
NA,12,"delay in paying off in the past","car (used)",1503,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",4,"real estate",41,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","radio/television",1311,"100 <= ... <  500 DM","4  <= ... < 7 years",0.04,"male","married/widowed","none",3,"building society savings agreement/life insurance",26,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","radio/television",3105,NA,"... < 1 year",0.04,"male","single","none",2,"car or other",25,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... >= 200 DM",21,"critical account","education",2319,"... <  100 DM","... < 1 year",0.02,"male","divorced/separated","none",1,"car or other",33,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",6,"existing credits paid back duly till now","car (new)",1374,NA,"unemployed",0.04,"female","divorced/separated/married","none",3,"building society savings agreement/life insurance",75,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"critical account","furniture/equipment",3612,"... <  100 DM","... >= 7 years",0.03,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",37,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",48,"existing credits paid back duly till now","car (new)",7763,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,42,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","no"
"... >= 200 DM",18,"existing credits paid back duly till now","furniture/equipment",3049,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",45,"stores","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1534,"... <  100 DM","... < 1 year",0.01,"male","married/widowed","none",1,"real estate",23,"none","rent",1,"skilled employee/official",1,"no","yes","no"
NA,24,"delay in paying off in the past","car (new)",2032,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,NA,60,"none","for free",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",30,"existing credits paid back duly till now","furniture/equipment",6350,NA,"... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",31,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... >= 200 DM",18,"existing credits paid back duly till now","furniture/equipment",2864,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",1,"real estate",34,"none","own",1,"unskilled - resident",2,"no","yes","no"
NA,12,"critical account","car (new)",1255,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",61,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",24,"delay in paying off in the past","car (new)",1333,"... <  100 DM","unemployed",0.04,"male","single","none",2,"real estate",43,"none","for free",2,"skilled employee/official",2,"no","yes","no"
NA,24,"critical account","car (new)",2022,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"car or other",37,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","radio/television",1552,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",1,"car or other",32,"bank","own",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",12,"all credits at this bank paid back duly","radio/television",626,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"real estate",24,"bank","own",1,"unskilled - resident",1,"no","yes","no"
NA,48,"critical account","car (used)",8858,NA,"4  <= ... < 7 years",0.02,"male","single","none",1,NA,35,"none","for free",2,"skilled employee/official",1,"yes","yes","yes"
NA,12,"critical account","repairs",996,NA,"4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",4,"real estate",23,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,6,"all credits at this bank paid back duly","radio/television",1750,"500 <= ... < 1000 DM","... >= 7 years",0.02,"male","single","none",4,"building society savings agreement/life insurance",45,"bank","own",1,"unskilled - resident",2,"no","yes","yes"
"... < 0 DM",48,"existing credits paid back duly till now","radio/television",6999,"... <  100 DM","4  <= ... < 7 years",0.01,"male","married/widowed","guarantor",1,"real estate",34,"none","own",2,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",12,"critical account","car (new)",1995,"100 <= ... <  500 DM","... < 1 year",0.04,"male","single","none",1,"car or other",27,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","education",1199,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",67,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",1331,"... <  100 DM","... < 1 year",0.02,"male","single","none",1,"car or other",22,"stores","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",18,"no credits taken","car (new)",2278,"100 <= ... <  500 DM","... < 1 year",0.03,"female","divorced/separated/married","none",3,"car or other",28,"none","own",2,"skilled employee/official",1,"no","yes","no"
NA,21,"no credits taken","car (new)",5003,NA,"1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",29,"bank","own",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",3552,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",4,"car or other",27,"bank","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",18,"critical account","furniture/equipment",1928,"... <  100 DM","... < 1 year",0.02,"male","single","none",2,"real estate",31,"none","own",2,"unskilled - resident",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","car (used)",2964,NA,"... >= 7 years",0.04,"male","single","none",4,NA,49,"bank","for free",1,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",24,"all credits at this bank paid back duly","radio/television",1546,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","guarantor",4,"car or other",24,"bank","rent",1,"unskilled - resident",1,"no","yes","no"
"... >= 200 DM",6,"delay in paying off in the past","radio/television",683,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",29,"bank","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","car (new)",12389,NA,"1  <= ... < 4 years",0.01,"male","single","none",4,NA,37,"none","for free",1,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",24,"delay in paying off in the past","business",4712,NA,"1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",37,"bank","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",24,"delay in paying off in the past","radio/television",1553,"100 <= ... <  500 DM","4  <= ... < 7 years",0.03,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"none","rent",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","car (new)",1372,"... <  100 DM","4  <= ... < 7 years",0.02,"male","divorced/separated","none",3,"car or other",36,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,24,"critical account","radio/television",2578,"... >= 1000 DM","... >= 7 years",0.02,"male","single","none",2,"car or other",34,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",48,"existing credits paid back duly till now","radio/television",3979,NA,"4  <= ... < 7 years",0.04,"male","single","none",1,"car or other",41,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",48,"existing credits paid back duly till now","radio/television",6758,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,"car or other",31,"none","own",1,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",3234,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"real estate",23,"none","rent",1,"unskilled - resident",1,"yes","yes","no"
NA,30,"critical account","radio/television",5954,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","co-applicant",2,"car or other",38,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","car (used)",5433,NA,"unemployed",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",26,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",15,"existing credits paid back duly till now","business",806,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",22,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","radio/television",1082,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",27,"none","own",2,"unskilled - resident",1,"no","yes","yes"
NA,15,"critical account","furniture/equipment",2788,"... <  100 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","co-applicant",3,"car or other",24,"bank","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",2930,"... <  100 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","none",1,"real estate",27,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,24,"critical account","education",1927,NA,"1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,"car or other",33,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",36,"critical account","car (new)",2820,"... <  100 DM","... < 1 year",0.04,"male","divorced/separated","none",4,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes","no"
NA,24,"existing credits paid back duly till now","retraining",937,"... <  100 DM","... < 1 year",0.04,"male","married/widowed","none",3,"car or other",27,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",18,"critical account","car (new)",1056,"... <  100 DM","... >= 7 years",0.03,"male","single","guarantor",3,"real estate",30,"bank","own",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",12,"critical account","car (new)",3124,"... <  100 DM","... < 1 year",0.01,"male","single","none",3,"real estate",49,"bank","own",2,"unskilled - resident",2,"no","yes","yes"
NA,9,"existing credits paid back duly till now","furniture/equipment",1388,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"real estate",26,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","repairs",2384,"... <  100 DM","... < 1 year",0.04,"male","single","none",1,NA,33,"none","rent",1,"unskilled - resident",1,"no","yes","no"
NA,12,"existing credits paid back duly till now","car (new)",2133,NA,"... >= 7 years",0.04,"female","divorced/separated/married","none",4,NA,52,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2039,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",4,"real estate",20,"bank","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",9,"critical account","car (new)",2799,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"real estate",36,"none","rent",2,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1289,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","guarantor",1,"building society savings agreement/life insurance",21,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","domestic appliances",1217,"... <  100 DM","1  <= ... < 4 years",0.04,"male","married/widowed","none",3,"real estate",47,"none","own",1,"unskilled - resident",1,"yes","yes","no"
"... < 0 DM",12,"critical account","furniture/equipment",2246,"... <  100 DM","... >= 7 years",0.03,"male","single","none",3,"building society savings agreement/life insurance",60,"none","own",2,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",12,"critical account","radio/television",385,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",3,"real estate",58,"none","own",4,"unskilled - resident",1,"yes","yes","yes"
"0 <= ... < 200 DM",24,"delay in paying off in the past","car (new)",1965,NA,"1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"car or other",42,"none","rent",2,"skilled employee/official",1,"yes","yes","yes"
NA,21,"existing credits paid back duly till now","business",1572,"... >= 1000 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",4,"real estate",36,"bank","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",2718,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",20,"none","rent",1,"unskilled - resident",1,"yes","yes","no"
"... < 0 DM",24,"all credits at this bank paid back duly","others",1358,NA,"... >= 7 years",0.04,"male","single","none",3,"car or other",40,"stores","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"0 <= ... < 200 DM",6,"all credits at this bank paid back duly","car (new)",931,"100 <= ... <  500 DM","... < 1 year",0.01,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",32,"stores","own",1,"unskilled - resident",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","car (new)",1442,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",4,"car or other",23,"none","rent",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",24,"no credits taken","business",4241,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",4,"real estate",36,"none","own",3,"unskilled - resident",1,"yes","yes","no"
NA,18,"critical account","car (new)",2775,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",2,"building society savings agreement/life insurance",31,"bank","own",2,"skilled employee/official",1,"no","yes","no"
NA,24,"delay in paying off in the past","business",3863,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",2,NA,32,"none","for free",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",7,"existing credits paid back duly till now","radio/television",2329,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","guarantor",1,"real estate",45,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","furniture/equipment",918,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",30,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",24,"all credits at this bank paid back duly","education",1837,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",4,NA,34,"bank","for free",1,"unskilled - resident",1,"no","yes","no"
NA,36,"existing credits paid back duly till now","furniture/equipment",3349,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,"car or other",28,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... >= 200 DM",10,"existing credits paid back duly till now","furniture/equipment",1275,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",23,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",2828,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"real estate",22,"stores","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,24,"critical account","business",4526,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"real estate",74,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","radio/television",2671,"100 <= ... <  500 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","co-applicant",4,NA,50,"none","for free",1,"skilled employee/official",1,"no","yes","no"
NA,18,"existing credits paid back duly till now","radio/television",2051,"... <  100 DM","... < 1 year",0.04,"male","single","none",1,"real estate",33,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,15,"existing credits paid back duly till now","car (used)",1300,NA,"... >= 7 years",0.04,"male","single","none",4,NA,45,"bank","for free",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","domestic appliances",741,"100 <= ... <  500 DM","unemployed",0.04,"female","divorced/separated/married","none",3,"building society savings agreement/life insurance",22,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... >= 200 DM",10,"existing credits paid back duly till now","car (new)",1240,"100 <= ... <  500 DM","... >= 7 years",0.01,"female","divorced/separated/married","none",4,NA,48,"none","for free",1,"unskilled - resident",2,"no","yes","no"
"... < 0 DM",21,"existing credits paid back duly till now","radio/television",3357,"... >= 1000 DM","... < 1 year",0.04,"female","divorced/separated/married","none",2,"car or other",29,"bank","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",24,"all credits at this bank paid back duly","car (used)",3632,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","guarantor",4,"car or other",22,"bank","rent",1,"skilled employee/official",1,"no","no","yes"
NA,18,"delay in paying off in the past","furniture/equipment",1808,"... <  100 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",1,"real estate",22,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",48,"no credits taken","business",12204,NA,"1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",48,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",60,"delay in paying off in the past","radio/television",9157,NA,"1  <= ... < 4 years",0.02,"male","single","none",2,NA,27,"none","for free",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"... < 0 DM",6,"critical account","car (new)",3676,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",3,"real estate",37,"none","rent",3,"skilled employee/official",2,"no","yes","yes"
"0 <= ... < 200 DM",30,"existing credits paid back duly till now","furniture/equipment",3441,"100 <= ... <  500 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","co-applicant",4,"car or other",21,"none","rent",1,"skilled employee/official",1,"no","yes","no"
NA,12,"existing credits paid back duly till now","car (new)",640,"... <  100 DM","1  <= ... < 4 years",0.04,"male","divorced/separated","none",2,"real estate",49,"none","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",21,"critical account","business",3652,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",3,"building society savings agreement/life insurance",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
